id;description;quantity;portion_size;type;date;photo;photo_content_type;calories;comment;recipe
1;SAS SMS input;16767;Manager Bacon Gorgeous Concrete Cheese;DINNER;2020-10-17T21:53:57;../fake-data/blob/hipster.png;image/png;13203;Rial Omani;Lead
2;Specialist;14506;Soap;BREAKFAST;2020-10-18T06:03:29;../fake-data/blob/hipster.png;image/png;20296;Rubber connect Montana;aggregate Chair invoice
3;Concrete architectures;20330;Ergonomic Cambridgeshire;DINNER;2020-10-18T02:13:31;../fake-data/blob/hipster.png;image/png;16601;RAM wireless Montana;navigating Bedfordshire bypass
4;Yuan Renminbi Credit Card Account Borders;60664;Shirt;LUNCH;2020-10-18T06:31:44;../fake-data/blob/hipster.png;image/png;8132;mobile Handmade Cotton Soap invoice;New Hampshire
5;bypassing;97448;Corporate Dynamic Buckinghamshire;BREAKFAST;2020-10-17T21:29:13;../fake-data/blob/hipster.png;image/png;66099;calculating;Garden circuit
6;index SQL;75971;Buckinghamshire green;SNACK;2020-10-17T21:13:19;../fake-data/blob/hipster.png;image/png;23673;Zambia Identity eco-centric;Sports superstructure
7;bandwidth Gorgeous;63921;implementation;BREAKFAST;2020-10-17T16:21:22;../fake-data/blob/hipster.png;image/png;3768;generating;Lao People's Democratic Republic Orchestrator
8;backing up Fresh;46246;initiatives;LUNCH;2020-10-17T15:15:26;../fake-data/blob/hipster.png;image/png;52093;navigating;product models
9;Chair e-services input;61009;Facilitator Trail Programmable;DINNER;2020-10-18T02:06:44;../fake-data/blob/hipster.png;image/png;84377;cross-platform;system engine Bedfordshire Isle of Man
10;Investment Account Corporate Lock;73713;Pennsylvania Orchestrator;LUNCH;2020-10-18T02:49:54;../fake-data/blob/hipster.png;image/png;5530;Personal Loan Account United Arab Emirates tan;optimize
